"id","function","main_function","GO_id"
"85","S-methylmethionine transmembrane transporter activity","molecular_function","GO:0000100"
"86","sulfur amino acid transport","biological_process","GO:0000101"
"87","L-methionine secondary active transmembrane transporter activity","molecular_function","GO:0000102"
"88","sulfate assimilation","biological_process","GO:0000103"
"89","succinate dehydrogenase activity","molecular_function","GO:0000104"
"90","histidine biosynthetic process","biological_process","GO:0000105"
"91","imidazoleglycerol-phosphate synthase activity","molecular_function","GO:0000107"
"92","repairosome","cellular_component","GO:0000108"
"93","nucleotide-excision repair complex","cellular_component","GO:0000109"
"94","nucleotide-excision repair factor 1 complex","cellular_component","GO:0000110"
"95","nucleotide-excision repair factor 2 complex","cellular_component","GO:0000111"
"96","nucleotide-excision repair factor 3 complex","cellular_component","GO:0000112"
"97","nucleotide-excision repair factor 4 complex","cellular_component","GO:0000113"
"98","regulation of transcription involved in G1 phase of mitotic cell cycle","biological_process","GO:0000114"
"99","regulation of transcription involved in S-phase of mitotic cell cycle","biological_process","GO:0000115"
"100","regulation of transcription involved in G2-phase of mitotic cell cycle","biological_process","GO:0000116"
"101","regulation of transcription involved in G2/M-phase of mitotic cell cycle","biological_process","GO:0000117"
"102","histone deacetylase complex","cellular_component","GO:0000118"
"103","RNA polymerase I transcription factor complex","cellular_component","GO:0000120"
"104","glycerol-1-phosphatase activity","molecular_function","GO:0000121"
"105","negative regulation of transcription from RNA polymerase II promoter","biological_process","GO:0000122"
"106","histone acetyltransferase complex","cellular_component","GO:0000123"
"107","SAGA complex","cellular_component","GO:0000124"
"108","PCAF complex","cellular_component","GO:0000125"
"109","transcription factor TFIIIB complex","cellular_component","GO:0000126"
"110","transcription factor TFIIIC complex","cellular_component","GO:0000127"
"111","flocculation","biological_process","GO:0000128"
"112","incipient cellular bud site","cellular_component","GO:0000131"
"113","establishment of mitotic spindle orientation","biological_process","GO:0000132"
"114","polarisome","cellular_component","GO:0000133"
"115","septin checkpoint","biological_process","GO:0000135"
"116","alpha-1,6-mannosyltransferase complex","cellular_component","GO:0000136"
"117","Golgi cis cisterna","cellular_component","GO:0000137"
"118","Golgi trans cisterna","cellular_component","GO:0000138"
"119","Golgi membrane","cellular_component","GO:0000139"
"120","acylglycerone-phosphate reductase activity","molecular_function","GO:0000140"
"121","cellular bud neck contractile ring","cellular_component","GO:0000142"
"122","cellular bud neck septin ring","cellular_component","GO:0000144"
"123","exocyst","cellular_component","GO:0000145"
"124","microfilament motor activity","molecular_function","GO:0000146"
"125","actin cortical patch assembly","biological_process","GO:0000147"
"126","1,3-beta-glucan synthase complex","cellular_component","GO:0000148"
"127","SNARE binding","molecular_function","GO:0000149"
"128","recombinase activity","molecular_function","GO:0000150"
"129","ubiquitin ligase complex","cellular_component","GO:0000151"
"130","nuclear ubiquitin ligase complex","cellular_component","GO:0000152"
"131","cytoplasmic ubiquitin ligase complex","cellular_component","GO:0000153"
"132","rRNA modification","biological_process","GO:0000154"
"133","two-component sensor activity","molecular_function","GO:0000155"
"134","two-component response regulator activity","molecular_function","GO:0000156"
"135","protein phosphatase type 2A complex","cellular_component","GO:0000159"
"136","two-component signal transduction system (phosphorelay)","biological_process","GO:0000160"
"137","MAPKKK cascade involved in osmosensory signaling pathway","biological_process","GO:0000161"
"138","tryptophan biosynthetic process","biological_process","GO:0000162"
"139","protein phosphatase type 1 complex","cellular_component","GO:0000164"
"140","MAPKKK cascade","biological_process","GO:0000165"
"141","nucleotide binding","molecular_function","GO:0000166"
"142","activation of MAPKKK activity involved in osmosensory signaling pathway","biological_process","GO:0000167"
"143","activation of MAPKK activity involved in osmosensory signaling pathway","biological_process","GO:0000168"
"144","activation of MAPK activity involved in osmosensory signaling pathway","biological_process","GO:0000169"
"145","sphingosine hydroxylase activity","molecular_function","GO:0000170"
"146","ribonuclease MRP activity","molecular_function","GO:0000171"
"147","ribonuclease MRP complex","cellular_component","GO:0000172"
"148","inactivation of MAPK activity involved in osmosensory signaling pathway","biological_process","GO:0000173"
"149","inactivation of MAPK (mating sensu Saccharomyces)","biological_process","GO:0000174"
"150","3'-5'-exoribonuclease activity","molecular_function","GO:0000175"
"151","nuclear exosome (RNase complex)","cellular_component","GO:0000176"
"152","cytoplasmic exosome (RNase complex)","cellular_component","GO:0000177"
"153","exosome (RNase complex)","cellular_component","GO:0000178"
"154","rRNA (adenine-N6,N6-)-dimethyltransferase activity","molecular_function","GO:0000179"
"155","cytosolic large ribosomal subunit","cellular_component","GO:0000180"
"156","cytosolic small ribosomal subunit","cellular_component","GO:0000181"
"157","rDNA binding","molecular_function","GO:0000182"
"158","chromatin silencing at rDNA","biological_process","GO:0000183"
"159","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","biological_process","GO:0000184"
"160","activation of MAPKKK activity","biological_process","GO:0000185"
"161","activation of MAPKK activity","biological_process","GO:0000186"
"162","activation of MAPK activity","biological_process","GO:0000187"
"163","inactivation of MAPK activity","biological_process","GO:0000188"
"164","nuclear translocation of MAPK","biological_process","GO:0000189"
"165","MAPKKK cascade (pseudohyphal growth)","biological_process","GO:0000190"
"166","activation of MAPKKK (pseudohyphal growth)","biological_process","GO:0000191"
"167","activation of MAPKK (pseudohyphal growth)","biological_process","GO:0000192"
"168","activation of MAPK (pseudohyphal growth)","biological_process","GO:0000193"
"169","inactivation of MAPK (pseudohyphal growth)","biological_process","GO:0000194"
"170","nuclear translocation of MAPK (pseudohyphal growth)","biological_process","GO:0000195"
"171","MAPKKK cascade involved in cell wall biogenesis","biological_process","GO:0000196"
"172","activation of MAPKKK activity involved in cell wall biogenesis","biological_process","GO:0000197"
"173","activation of MAPKK activity involved in cell wall biogenesis","biological_process","GO:0000198"
"174","activation of MAPK activity involved in cell wall biogenesis","biological_process","GO:0000199"
"175","inactivation of MAPK activity involved in cell wall biogenesis","biological_process","GO:0000200"
"176","nuclear translocation of MAPK involved in cell wall biogenesis","biological_process","GO:0000201"
"177","MAPKKK cascade during sporulation (sensu Saccharomyces)","biological_process","GO:0000202"
"178","activation of MAPKKK during sporulation (sensu Saccharomyces)","biological_process","GO:0000203"
"179","activation of MAPKK during sporulation (sensu Saccharomyces)","biological_process","GO:0000204"
"180","activation of MAPK during sporulation (sensu Saccharomyces)","biological_process","GO:0000205"
"181","inactivation of MAPK during sporulation (sensu Saccharomyces)","biological_process","GO:0000206"
"182","nuclear translocation of MAPK during sporulation (sensu Saccharomyces)","biological_process","GO:0000207"
"183","nuclear translocation of MAPK involved in osmosensory signaling pathway","biological_process","GO:0000208"
"184","protein polyubiquitination","biological_process","GO:0000209"
"185","NAD+ diphosphatase activity","molecular_function","GO:0000210"
"186","protein degradation tagging activity","molecular_function","GO:0000211"
"187","meiotic spindle organization","biological_process","GO:0000212"
"188","tRNA-intron endonuclease activity","molecular_function","GO:0000213"
"189","tRNA-intron endonuclease complex","cellular_component","GO:0000214"
"190","tRNA 2'-phosphotransferase activity","molecular_function","GO:0000215"
"191","M/G1 transition of mitotic cell cycle","biological_process","GO:0000216"
"192","DNA secondary structure binding","molecular_function","GO:0000217"
"193","vacuolar hydrogen-transporting ATPase","cellular_component","GO:0000219"
"194","vacuolar proton-transporting V-type ATPase, V0 domain","cellular_component","GO:0000220"
"195","vacuolar proton-transporting V-type ATPase, V1 domain","cellular_component","GO:0000221"
"196","plasma membrane proton-transporting V-type ATPase, V0 domain","cellular_component","GO:0000222"
"197","plasma membrane proton-transporting V-type ATPase, V1 domain","cellular_component","GO:0000223"
"198","peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity","molecular_function","GO:0000224"
"199","N-acetylglucosaminylphosphatidylinositol deacetylase activity","molecular_function","GO:0000225"
"200","microtubule cytoskeleton organization","biological_process","GO:0000226"
"201","oxaloacetate secondary active transmembrane transporter activity","molecular_function","GO:0000227"
"202","nuclear chromosome","cellular_component","GO:0000228"
"203","cytoplasmic chromosome","cellular_component","GO:0000229"
"204","nuclear mitotic chromosome","cellular_component","GO:0000230"
"205","cytoplasmic mitotic chromosome","cellular_component","GO:0000231"
"206","nuclear interphase chromosome","cellular_component","GO:0000232"
"207","cytoplasmic interphase chromosome","cellular_component","GO:0000233"
"208","phosphoethanolamine N-methyltransferase activity","molecular_function","GO:0000234"
"209","astral microtubule","cellular_component","GO:0000235"
"210","mitotic prometaphase","biological_process","GO:0000236"
"211","leptotene","biological_process","GO:0000237"
"212","zygotene","biological_process","GO:0000238"
"213","pachytene","biological_process","GO:0000239"
"214","diplotene","biological_process","GO:0000240"
"215","diakinesis","biological_process","GO:0000241"
"216","pericentriolar material","cellular_component","GO:0000242"
"217","commitment complex","cellular_component","GO:0000243"
"218","assembly of spliceosomal tri-snRNP","biological_process","GO:0000244"
"219","spliceosome assembly","biological_process","GO:0000245"
"220","delta24(24-1) sterol reductase activity","molecular_function","GO:0000246"
"221","C-8 sterol isomerase activity","molecular_function","GO:0000247"
"222","C-5 sterol desaturase activity","molecular_function","GO:0000248"
"223","C-22 sterol desaturase activity","molecular_function","GO:0000249"
"224","lanosterol synthase activity","molecular_function","GO:0000250"
"225","C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity","molecular_function","GO:0000252"
"226","3-keto sterol reductase activity","molecular_function","GO:0000253"
"227","C-4 methylsterol oxidase activity","molecular_function","GO:0000254"
"228","allantoin metabolic process","biological_process","GO:0000255"
"229","allantoin catabolic process","biological_process","GO:0000256"
"230","nitrilase activity","molecular_function","GO:0000257"
"231","isoleucine/valine:sodium symporter activity","molecular_function","GO:0000258"
"232","intracellular nucleoside transmembrane transporter activity","molecular_function","GO:0000259"
"233","hydrogen-translocating V-type ATPase activity","molecular_function","GO:0000260"
"234","sodium-translocating V-type ATPase activity","molecular_function","GO:0000261"
"235","mitochondrial chromosome","cellular_component","GO:0000262"
"236","heterotrimeric G-protein GTPase, alpha-subunit","molecular_function","GO:0000263"
"237","heterotrimeric G-protein GTPase, beta-subunit","molecular_function","GO:0000264"
"238","heterotrimeric G-protein GTPase, gamma-subunit","molecular_function","GO:0000265"
"239","mitochondrial fission","biological_process","GO:0000266"
"240","cell fraction","cellular_component","GO:0000267"
"241","peroxisome targeting sequence binding","molecular_function","GO:0000268"
"242","toxin export channel activity","molecular_function","GO:0000269"
"243","peptidoglycan metabolic process","biological_process","GO:0000270"
"244","polysaccharide biosynthetic process","biological_process","GO:0000271"
"245","polysaccharide catabolic process","biological_process","GO:0000272"
"246","lipoic acid metabolic process","biological_process","GO:0000273"
"247","mitochondrial proton-transporting ATP synthase, stator stalk","cellular_component","GO:0000274"
"248","mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)","cellular_component","GO:0000275"
"249","mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)","cellular_component","GO:0000276"
"250","[cytochrome c]-lysine N-methyltransferase activity","molecular_function","GO:0000277"
"251","mitotic cell cycle","biological_process","GO:0000278"
"252","M phase","biological_process","GO:0000279"
"253","nuclear division","biological_process","GO:0000280"
"254","cytokinesis after mitosis","biological_process","GO:0000281"
"255","cellular bud site selection","biological_process","GO:0000282"
"256","shmoo orientation","biological_process","GO:0000284"
"257","1-phosphatidylinositol-3-phosphate 5-kinase activity","molecular_function","GO:0000285"
"258","alanine dehydrogenase activity","molecular_function","GO:0000286"
"259","magnesium ion binding","molecular_function","GO:0000287"
"260","nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay","biological_process","GO:0000288"
"261","nuclear-transcribed mRNA poly(A) tail shortening","biological_process","GO:0000289"
"262","deadenylation-dependent decapping of nuclear-transcribed mRNA","biological_process","GO:0000290"
"263","nuclear-transcribed mRNA catabolic process, exonucleolytic","biological_process","GO:0000291"
"264","RNA fragment catabolic process","biological_process","GO:0000292"
"265","ferric-chelate reductase activity","molecular_function","GO:0000293"
"266","nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay","biological_process","GO:0000294"
"267","adenine nucleotide transmembrane transporter activity","molecular_function","GO:0000295"
"268","spermine transport","biological_process","GO:0000296"
"269","spermine transmembrane transporter activity","molecular_function","GO:0000297"
"270","endopolyphosphatase activity","molecular_function","GO:0000298"
"271","integral to membrane of membrane fraction","cellular_component","GO:0000299"
"272","peripheral to membrane of membrane fraction","cellular_component","GO:0000300"
"273","retrograde transport, vesicle recycling within Golgi","biological_process","GO:0000301"
"274","response to reactive oxygen species","biological_process","GO:0000302"
"275","response to superoxide","biological_process","GO:0000303"
"276","response to singlet oxygen","biological_process","GO:0000304"
"277","response to oxygen radical","biological_process","GO:0000305"
"278","extrinsic to vacuolar membrane","cellular_component","GO:0000306"
"279","cyclin-dependent protein kinase holoenzyme complex","cellular_component","GO:0000307"
"280","cytoplasmic cyclin-dependent protein kinase holoenzyme complex","cellular_component","GO:0000308"
"281","nicotinamide-nucleotide adenylyltransferase activity","molecular_function","GO:0000309"
"282","xanthine phosphoribosyltransferase activity","molecular_function","GO:0000310"
"283","plastid large ribosomal subunit","cellular_component","GO:0000311"
"284","plastid small ribosomal subunit","cellular_component","GO:0000312"
"285","organellar ribosome","cellular_component","GO:0000313"
"286","organellar small ribosomal subunit","cellular_component","GO:0000314"
"287","organellar large ribosomal subunit","cellular_component","GO:0000315"
"288","sulfite transport","biological_process","GO:0000316"
"289","methionine-S-oxide reductase activity","molecular_function","GO:0000317"
"290","protein-methionine-R-oxide reductase activity","molecular_function","GO:0000318"
"291","sulfite transmembrane transporter activity","molecular_function","GO:0000319"
"292","re-entry into mitotic cell cycle","biological_process","GO:0000320"
"293","re-entry into mitotic cell cycle after pheromone arrest","biological_process","GO:0000321"
"294","storage vacuole","cellular_component","GO:0000322"
"295","lytic vacuole","cellular_component","GO:0000323"
"296","fungal-type vacuole","cellular_component","GO:0000324"
"297","plant-type vacuole","cellular_component","GO:0000325"
"298","protein storage vacuole","cellular_component","GO:0000326"
"299","lytic vacuole within protein storage vacuole","cellular_component","GO:0000327"
"300","fungal-type vacuole lumen","cellular_component","GO:0000328"
"301","fungal-type vacuole membrane","cellular_component","GO:0000329"
"302","plant-type vacuole lumen","cellular_component","GO:0000330"
"303","contractile vacuole","cellular_component","GO:0000331"
"304","template for synthesis of G-rich strand of telomere DNA activity","molecular_function","GO:0000332"
"305","telomerase catalytic core complex","cellular_component","GO:0000333"
"306","3-hydroxyanthranilate 3,4-dioxygenase activity","molecular_function","GO:0000334"
"307","negative regulation of transposition, DNA-mediated","biological_process","GO:0000335"
"308","positive regulation of transposition, DNA-mediated","biological_process","GO:0000336"
"309","regulation of transposition, DNA-mediated","biological_process","GO:0000337"
"310","protein deneddylation","biological_process","GO:0000338"
"311","RNA cap binding","molecular_function","GO:0000339"
"312","RNA 7-methylguanosine cap binding","molecular_function","GO:0000340"
"313","RNA trimethylguanosine cap binding","molecular_function","GO:0000341"
"314","RNA cap 4 binding","molecular_function","GO:0000342"
"315","plastid-encoded plastid RNA polymerase complex A","cellular_component","GO:0000343"
"316","plastid-encoded plastid RNA polymerase complex B","cellular_component","GO:0000344"
"317","cytosolic DNA-directed RNA polymerase complex","cellular_component","GO:0000345"
"318","transcription export complex","cellular_component","GO:0000346"
"319","THO complex","cellular_component","GO:0000347"
"320","nuclear mRNA branch site recognition","biological_process","GO:0000348"
"321","generation of catalytic spliceosome for first transesterification step","biological_process","GO:0000349"
"322","generation of catalytic spliceosome for second transesterification step","biological_process","GO:0000350"
"323","trans assembly of SL-containing precatalytic spliceosome","biological_process","GO:0000352"
"324","formation of quadruple SL/U4/U5/U6 snRNP","biological_process","GO:0000353"
"325","cis assembly of pre-catalytic spliceosome","biological_process","GO:0000354"
"326","first U2-type spliceosomal transesterification activity","molecular_function","GO:0000362"
"327","first U12-type spliceosomal transesterification activity","molecular_function","GO:0000363"
"328","second U2-type spliceosomal transesterification activity","molecular_function","GO:0000364"
"329","nuclear mRNA trans splicing, via spliceosome","biological_process","GO:0000365"
"330","intergenic nuclear mRNA trans splicing","biological_process","GO:0000366"
"331","second U12-type spliceosomal transesterification activity","molecular_function","GO:0000367"
"332","Group I intron splicing","biological_process","GO:0000372"
"333","Group II intron splicing","biological_process","GO:0000373"
"334","Group III intron splicing","biological_process","GO:0000374"
"335","RNA splicing, via transesterification reactions","biological_process","GO:0000375"
"336","RNA splicing, via transesterification reactions with guanosine as nucleophile","biological_process","GO:0000376"
"337","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","biological_process","GO:0000377"
"338","RNA exon ligation","biological_process","GO:0000378"
"339","tRNA-type intron splice site recognition and cleavage","biological_process","GO:0000379"
"340","alternative nuclear mRNA splicing, via spliceosome","biological_process","GO:0000380"
"341","regulation of alternative nuclear mRNA splicing, via spliceosome","biological_process","GO:0000381"
"342","first spliceosomal transesterification activity","molecular_function","GO:0000384"
"343","second spliceosomal transesterification activity","molecular_function","GO:0000386"
"344","spliceosomal snRNP assembly","biological_process","GO:0000387"
"345","spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)","biological_process","GO:0000388"
"346","nuclear mRNA 3'-splice site recognition","biological_process","GO:0000389"
"347","spliceosome disassembly","biological_process","GO:0000390"
"348","spliceosomal conformational changes to generate catalytic conformation","biological_process","GO:0000393"
"349","RNA splicing, via endonucleolytic cleavage and ligation","biological_process","GO:0000394"
"350","nuclear mRNA 5'-splice site recognition","biological_process","GO:0000395"
"351","nuclear mRNA splicing, via spliceosome","biological_process","GO:0000398"
"352","cellular bud neck septin structure","cellular_component","GO:0000399"
"353","four-way junction DNA binding","molecular_function","GO:0000400"
"354","open form four-way junction DNA binding","molecular_function","GO:0000401"
"355","crossed form four-way junction DNA binding","molecular_function","GO:0000402"
"356","Y-form DNA binding","molecular_function","GO:0000403"
"357","loop DNA binding","molecular_function","GO:0000404"
"358","bubble DNA binding","molecular_function","GO:0000405"
"359","double-strand/single-strand DNA junction binding","molecular_function","GO:0000406"
"360","pre-autophagosomal structure","cellular_component","GO:0000407"
"361","EKC/KEOPS protein complex","cellular_component","GO:0000408"
"362","regulation of transcription by galactose","biological_process","GO:0000409"
"363","negative regulation of transcription by galactose","biological_process","GO:0000410"
"364","positive regulation of transcription by galactose","biological_process","GO:0000411"
"365","histone peptidyl-prolyl isomerization","biological_process","GO:0000412"
"366","protein peptidyl-prolyl isomerization","biological_process","GO:0000413"
"367","regulation of histone H3-K36 methylation","biological_process","GO:0000414"
"368","negative regulation of histone H3-K36 methylation","biological_process","GO:0000415"
"369","positive regulation of histone H3-K36 methylation","biological_process","GO:0000416"
"370","HIR complex","cellular_component","GO:0000417"
"371","DNA-directed RNA polymerase IV complex","cellular_component","GO:0000418"
"372","DNA-directed RNA polymerase IVb complex","cellular_component","GO:0000419"
"373","DNA-directed RNA polymerase IVa complex","cellular_component","GO:0000420"
"374","autophagic vacuole membrane","cellular_component","GO:0000421"
"375","mitochondrion degradation","biological_process","GO:0000422"
"376","macromitophagy","biological_process","GO:0000423"
"377","micromitophagy","biological_process","GO:0000424"
"378","macropexophagy","biological_process","GO:0000425"
"379","micropexophagy","biological_process","GO:0000426"
"380","plastid-encoded plastid RNA polymerase complex","cellular_component","GO:0000427"
"381","DNA-directed RNA polymerase complex","cellular_component","GO:0000428"
"382","regulation of transcription from RNA polymerase II promoter by carbon catabolites","biological_process","GO:0000429"
"383","regulation of transcription from RNA polymerase II promoter by glucose","biological_process","GO:0000430"
"384","regulation of transcription from RNA polymerase II promoter by galactose","biological_process","GO:0000431"
"385","positive regulation of transcription from RNA polymerase II promoter by glucose","biological_process","GO:0000432"
"386","negative regulation of transcription from RNA polymerase II promoter by glucose","biological_process","GO:0000433"
"387","negative regulation of transcription from RNA polymerase II promoter by galactose","biological_process","GO:0000434"
"388","positive regulation of transcription from RNA polymerase II promoter by galactose","biological_process","GO:0000435"
"389","positive regulation of transcription from RNA polymerase II promoter by carbon catabolites","biological_process","GO:0000436"
"390","negative regulation of transcription from RNA polymerase II promoter by carbon catabolites","biological_process","GO:0000437"
"391","core TFIIH complex portion of holo TFIIH complex","cellular_component","GO:0000438"
"392","core TFIIH complex","cellular_component","GO:0000439"
"393","core TFIIH complex portion of NEF3 complex","cellular_component","GO:0000440"
"394","SSL2-core TFIIH complex","cellular_component","GO:0000441"
"395","SSL2-core TFIIH complex portion of NEF3 complex","cellular_component","GO:0000442"
"396","SSL2-core TFIIH complex portion of holo TFIIH complex","cellular_component","GO:0000443"
"397","MIS12/MIND type complex","cellular_component","GO:0000444"
"398","THO complex part of transcription export complex","cellular_component","GO:0000445"
"399","nucleoplasmic THO complex","cellular_component","GO:0000446"
"400","endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","biological_process","GO:0000447"
"401","cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","biological_process","GO:0000448"
"402","endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 5S)","biological_process","GO:0000449"
"403","cleavage of bicistronic rRNA transcript (SSU-rRNA, LSU-rRNA)","biological_process","GO:0000450"
"404","rRNA 2'-O-methylation","biological_process","GO:0000451"
"405","snoRNA guided rRNA 2'-O-methylation","biological_process","GO:0000452"
"406","enzyme-directed rRNA 2'-O-methylation","biological_process","GO:0000453"
"407","snoRNA guided rRNA pseudouridine synthesis","biological_process","GO:0000454"
"408","enzyme-directed rRNA pseudouridine synthesis","biological_process","GO:0000455"
"409","dimethylation during SSU-rRNA biogenesis","biological_process","GO:0000456"
"410","endonucleolytic cleavage between SSU-rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 5S)","biological_process","GO:0000457"
"411","endonucleolytic cleavage between LSU-rRNA and 5S rRNA of tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 5S)","biological_process","GO:0000458"
"412","exonucleolytic trimming during rRNA processing","biological_process","GO:0000459"
"413","maturation of 5.8S rRNA","biological_process","GO:0000460"
"414","endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","biological_process","GO:0000461"
"415","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","biological_process","GO:0000462"
"416","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","biological_process","GO:0000463"
"417","endonucleolytic cleavage in ITS1 upstream of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","biological_process","GO:0000464"
"418","exonucleolytic trimming to generate mature 5'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","biological_process","GO:0000465"
"419","maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","biological_process","GO:0000466"
